Transaction,OFFENSE_Code,PSA_ID,AvgTmp,AvgHumid,Precip,Season,Weekend,Period
1,Theft/Other,305,Temp >71,Humid 50-75%,Precip 0-1,Winter,Weekday,Afternoon
2,Theft/Auto,408,Temp 52-71,Humid 50-75%,Precip 0-1,Winter,Weekday,Morning
3,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
4,Theft/Other,306,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
5,Theft/Auto,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
6,Burglary,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
7,Assault,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
8,Theft/Other,408,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
9,Robbery,305,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
10,Theft/Auto,304,Temp 52-71,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
11,Motor Vehicle Theft,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
12,Theft/Auto,301,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
13,Robbery,408,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
14,Robbery,303,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
15,Homicide,409,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
16,Robbery,408,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
17,Theft/Auto,304,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
18,Theft/Other,304,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
19,Robbery,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
20,Robbery,306,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
21,Theft/Auto,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Morning
22,Theft/Auto,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
23,Robbery,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
24,Assault,301,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
25,Robbery,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
26,Assault,303,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Midnight
27,Theft/Other,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
28,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
29,Theft/Auto,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
30,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
31,Robbery,408,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
32,Burglary,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
33,Burglary,408,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
34,Burglary,409,Temp 52-71,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
35,Theft/Other,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
36,Robbery,301,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
37,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
38,Theft/Auto,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
39,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
40,Assault,408,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
41,Theft/Auto,404,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Midnight
42,Theft/Other,302,Temp 52-71,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
43,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Midnight
44,Theft/Auto,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Morning
45,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Midnight
46,Theft/Auto,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
47,Theft/Other,304,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
48,Theft/Other,408,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
49,Assault,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
50,Theft/Auto,408,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
51,Theft/Other,408,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
52,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
53,Theft/Auto,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Evening
54,Robbery,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
55,Robbery,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
56,Theft/Other,302,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
57,Burglary,302,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
58,Theft/Other,409,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
59,Theft/Auto,301,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
60,Theft/Other,302,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
61,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
62,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Midnight
63,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Midnight
64,Motor Vehicle Theft,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
65,Theft/Auto,305,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Midnight
66,Theft/Auto,305,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Midnight
67,Theft/Other,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Morning
68,Theft/Auto,303,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Morning
69,Theft/Auto,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
70,Theft/Other,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
71,Assault,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Midnight
72,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
73,Theft/Auto,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
74,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
75,Theft/Other,302,Temp 52-71,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
76,Theft/Other,302,Temp 52-71,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
77,Robbery,305,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
78,Assault,306,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Midnight
79,Robbery,408,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Midnight
80,Theft/Auto,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
81,Theft/Other,303,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Midnight
82,Theft/Auto,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
83,Robbery,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
84,Theft/Auto,306,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
85,Theft/Auto,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Midnight
86,Theft/Auto,408,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
87,Theft/Other,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
88,Burglary,408,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
89,Theft/Auto,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
90,Theft/Auto,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
91,Theft/Other,408,Temp 33-52,Humid 75-100%,Precip 0-1,Spring,Weekday,Morning
92,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
93,Motor Vehicle Theft,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
94,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
95,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
96,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
97,Theft/Auto,306,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
98,Theft/Auto,305,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
99,Theft/Other,304,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Midnight
100,Theft/Auto,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
101,Theft/Other,408,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
102,Theft/Other,306,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
103,Motor Vehicle Theft,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Morning
104,Theft/Auto,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
105,Theft/Auto,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
106,Theft/Auto,301,Temp 52-71,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
107,Theft/Other,302,Temp 52-71,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
108,Theft/Other,304,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
109,Theft/Auto,409,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
110,Theft/Other,305,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
111,Theft/Other,306,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
112,Theft/Other,306,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
113,Theft/Other,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
114,Theft/Auto,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
115,Robbery,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
116,Theft/Auto,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
117,Robbery,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekday,Evening
118,Theft/Other,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
119,Theft/Other,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekend,Evening
120,Robbery,408,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
121,Theft/Auto,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
122,Theft/Other,302,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
123,Theft/Auto,306,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
124,Theft/Auto,408,Temp < 33,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
125,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Afternoon
126,Theft/Other,408,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
127,Robbery,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
128,Theft/Other,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
129,Theft/Other,305,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
130,Theft/Other,409,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
131,Theft/Auto,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Midnight
132,Theft/Auto,303,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
133,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
134,Theft/Other,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
135,Theft/Other,303,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekday,Evening
136,Theft/Auto,302,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Afternoon
137,Theft/Auto,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
138,Theft/Other,302,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
139,Theft/Other,408,Temp 33-52,Humid 50-75%,Precip 0-1,Spring,Weekend,Afternoon
140,Theft/Other,306,Temp 33-52,Humid 25-50%,Precip 0-1,Spring,Weekday,Morning
141,Theft/Other,302,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
142,Theft/Other,305,Temp < 33,Humid 25-50%,Precip 0-1,Spring,Weekend,Afternoon
